Country,economy,Region,ВВП,Конечное потребление правительства,Конечное потребление,Валовое накопление капитала,Уровень безработицы,Чистый экспорт
Cyprus,CYP,Europe & Central Asia,246.12646487721298,49.158195316961695,205.92740148486598,46.4321530553969,7.59000015258789,-6.233089663048973
Cuba,CUB,Latin America & Caribbean,1073.52,417.04,960.49,106.01,2.62400007247925,7.02
Croatia,HRV,Europe & Central Asia,572.037832030259,137.004037037989,473.928620113188,136.767827243058,7.51000022888184,-38.65790352262798
Cote d'Ivoire,CIV,Sub-Saharan Africa,613.485794651017,65.3323857651159,471.041734119662,135.770708663866,3.48799991607666,6.673351867488003
Costa Rica,CRI,Latin America & Caribbean,618.468951207808,109.692843326434,505.539273457678,102.44684660521999,17.4099998474121,10.482831144907989
"Congo, Rep.",COG,Sub-Saharan Africa,101.871223414051,17.4929550058549,76.0344240478399,27.4680065185741,22.8430004119873,-1.6311897787646008
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,487.169608600664,36.9062071466703,373.56111107251604,119.854835822292,5.26599979400635,-6.246338294144001
Colombia,COL,Latin America & Caribbean,2714.37596293843,480.91564016736396,2377.79817357938,516.021934259521,15.039999961853,-179.44414490046591
China,CHN,East Asia & Pacific,147227.306978901,24607.335381405097,80713.3086019012,64108.596104799406,5.0,3661.4468987654004
Chile,CHL,Latin America & Caribbean,2529.40023046007,401.31753479709704,1895.24882462504,501.411004381295,11.1800003051758,132.74040145371598
Chad,TCD,Sub-Saharan Africa,108.29076801729,5.07414385860671,101.273502135215,23.409759792628698,1.74199998378754,-16.392479490467096
Central African Republic,CAF,Sub-Saharan Africa,23.800877580413697,1.82359287057017,23.6054156390183,5.51132986035102,6.35699987411499,-4.611491434816
Canada,CAN,North America,16454.234075683602,3727.18938233278,13131.622047769599,3662.2303349369704,9.46000003814697,-338.23889658125
Cameroon,CMR,Sub-Saharan Africa,408.044497260184,50.355776547727004,348.665864006421,72.3994676729455,3.83699989318848,-13.020834419183206
Cambodia,KHM,East Asia & Pacific,258.085615509514,13.9333183607184,193.759594671665,64.37038365506389,0.331000000238419,-3.672323233001995
Cabo Verde,CPV,Sub-Saharan Africa,17.0369867669742,3.51793050724361,14.344048371983499,8.65431167913451,15.3059997558594,-5.961373284143829
Burundi,BDI,Sub-Saharan Africa,28.4178638219063,8.854349781147409,30.008210908285697,3.23334102231004,1.70700001716614,-6.5170329484009
Bulgaria,BGR,Europe & Central Asia,698.8934743343241,136.207288935501,546.473075802599,131.028194371613,5.11999988555908,10.267103653208007
Brunei Darussalam,BRN,East Asia & Pacific,120.058257695087,30.5319986618752,59.0570385050074,48.729041622016496,7.68200016021729,5.3080386476733015
Brazil,BRA,Latin America & Caribbean,14447.3325897165,2960.68001307898,12021.296195398201,2225.59210856322,13.6899995803833,200.44428575505006
Botswana,BWA,Sub-Saharan Africa,150.619228016271,53.245055079345704,121.78060788044901,49.688291056371206,24.9300003051758,-22.5642010439762
Bosnia and Herzegovina,BIH,Europe & Central Asia,199.464965629733,41.5294826983572,188.515006408016,45.7684550856344,15.2650003433228,-27.853623441687088
Bolivia,BOL,Latin America & Caribbean,365.727648628234,72.30230969609259,325.841596237337,57.94426483357449,7.90000009536743,-18.058211287988396
Bhutan,BTN,South Asia,23.154373380880898,4.84195677639525,19.1982445774361,7.8143415118832396,3.6489999294281,-3.85821283475371
Benin,BEN,Sub-Saharan Africa,156.515453315404,17.8417633385802,124.358491052597,40.1209263689527,1.58399999141693,-7.963964106145702
Belize,BLZ,Latin America & Caribbean,16.3628079708056,3.278241972,14.04085206525,3.6491606574022,8.46199989318848,-2.192487953099999
Belgium,BEL,Europe & Central Asia,5218.61292586616,1292.02025695253,3884.35996778522,1260.87256906148,5.55000019073486,73.38038901946045
Belarus,BLR,Europe & Central Asia,602.582390555829,101.890883751435,411.989670437777,158.308739137564,4.76800012588501,18.792834890965956
Bangladesh,BGD,South Asia,3230.56957972312,202.62482885012,2462.53064776913,984.303389032963,5.41300010681152,-211.277435576296
"Bahamas, The",BHS,Latin America & Caribbean,99.075,15.781,79.999,22.443,13.3210000991821,-1.344
Azerbaijan,AZE,Europe & Central Asia,426.07176470588206,67.8770588235294,325.897058823529,103.465294117647,6.46299982070923,-3.2905882352939986
Austria,AUT,Europe & Central Asia,4332.58467676515,918.4882061016369,3090.1888430600898,1122.19157207767,5.3600001335144,124.39166678242005
Australia,AUS,East Asia & Pacific,13278.3617106851,2770.11663761898,9799.812307279799,2956.9513339589803,6.46000003814697,521.5980694463104
Armenia,ARM,Europe & Central Asia,126.41209802112,20.2707905725233,115.58005590491301,23.4272893601732,21.2059993743896,-12.595247243966403
Argentina,ARG,Latin America & Caribbean,3892.8805626532503,604.619262360452,3077.3643566672,545.7713337233561,11.460000038147,118.16806669395905
Angola,AGO,Sub-Saharan Africa,583.759762929678,59.278406139258095,429.006908325476,97.8439411557593,8.33300018310547,50.605299910698015
Algeria,DZA,Middle East & North Africa,1450.0918149062,291.65430899028803,990.4572445431661,629.1135286582399,12.5500001907349,-142.68383489723698
